Tag,Wochentag,Kalenderwoche,Hauptstraße,Rathausstraße
02.10.2023,Mo,40,96,169
03.10.2023,Di,40,97,119
04.10.2023,Mi,40,103,210
05.10.2023,Do,40,129,239
06.10.2023,Fr,40,114,165
07.10.2023,Sa,40,100,140
08.10.2023,So,40,98,84
09.10.2023,Mo,41,134,214
10.10.2023,Di,41,126,171
11.10.2023,Mi,41,106,170
12.10.2023,Do,41,158,214
13.10.2023,Fr,41,102,207
14.10.2023,Sa,41,105,93
15.10.2023,So,41,74,145
16.10.2023,Mo,42,111,168
17.10.2023,Di,42,145,173
18.10.2023,Mi,42,133,235
19.10.2023,Do,42,130,162
20.10.2023,Fr,42,120,205
21.10.2023,Sa,42,117,125
22.10.2023,So,42,94,178
23.10.2023,Mo,43,124,157
24.10.2023,Di,43,142,163
25.10.2023,Mi,43,116,233
26.10.2023,Do,43,129,200
27.10.2023,Fr,43,143,153
28.10.2023,Sa,43,113,98
29.10.2023,So,43,110,136
30.10.2023,Mo,44,119,114
31.10.2023,Di,44,150,177
01.11.2023,Mi,44,73,215
02.11.2023,Do,44,105,241
03.11.2023,Fr,44,171,242
04.11.2023,Sa,44,97,76
05.11.2023,So,44,90,128
