Tag,Wochentag,Kalenderwoche,Mierendorffstraße
02.10.2023,Mo,40,88
03.10.2023,Di,40,84
04.10.2023,Mi,40,73
05.10.2023,Do,40,87
06.10.2023,Fr,40,71
07.10.2023,Sa,40,67
08.10.2023,So,40,65
09.10.2023,Mo,41,86
10.10.2023,Di,41,82
11.10.2023,Mi,41,111
12.10.2023,Do,41,60
13.10.2023,Fr,41,103
14.10.2023,Sa,41,60
15.10.2023,So,41,63
16.10.2023,Mo,42,83
17.10.2023,Di,42,76
18.10.2023,Mi,42,63
19.10.2023,Do,42,75
20.10.2023,Fr,42,89
21.10.2023,Sa,42,73
22.10.2023,So,42,58
23.10.2023,Mo,43,98
24.10.2023,Di,43,85
25.10.2023,Mi,43,82
26.10.2023,Do,43,85
27.10.2023,Fr,43,68
28.10.2023,Sa,43,50
29.10.2023,So,43,51
30.10.2023,Mo,44,60
31.10.2023,Di,44,76
01.11.2023,Mi,44,69
02.11.2023,Do,44,94
03.11.2023,Fr,44,66
04.11.2023,Sa,44,55
05.11.2023,So,44,66
